GLAID,Borough,Priority,Empty,Bedroom
1,Bexley,2,1 to 3 years,3B
2,Bexley,2,1 to 3 years,3B
3,Bexley,2,1 to 3 years,2B
4,Bexley,4,Over 5 years,3B
5,Bexley,3,1 to 3 years,1B
6,Bexley,3,Over 5 years,3B
7,Bexley,3,1 to 3 years,3B
11,Bexley,2,1 to 3 years,1B
12,Bexley,3,Over 5 years,2B
13,Bexley,3,1 to 3 years,1B
14,Bexley,3,3 to 5 years,3B
15,Bexley,4,Over 5 years,2B
16,Bexley,2,1 to 3 years,2B
17,Bexley,2,1 to 3 years,3B
18,Bexley,3,1 to 3 years,3B
19,Bexley,2,1 to 3 years,3B
20,Bexley,3,1 to 3 years,2B
21,Bexley,3,1 to 3 years,4B
22,Bexley,5,1 to 3 years,4B
23,Bexley,2,1 to 3 years,3B
24,Bexley,2,1 to 3 years,3B
25,Bexley,2,1 to 3 years,3B
27,Bexley,5,Over 5 years,2B
28,Bexley,2,1 to 3 years,2B
29,Bexley,3,1 to 3 years,3B
30,Bexley,2,1 to 3 years,2B
31,Bexley,4,Over 5 years,4B
32,Bexley,4,Over 5 years,2B
33,Bexley,2,3 to 5 years,2B
34,Bexley,3,Over 5 years,1B
35,Bexley,3,3 to 5 years,3B
36,Bexley,2,1 to 3 years,3B
37,Bexley,2,3 to 5 years,2B
38,Bexley,2,1 to 3 years,1B
39,Bexley,2,1 to 3 years,2B
40,Bexley,2,1 to 3 years,1B
41,Bexley,5,Over 5 years,3B
42,Bexley,3,3 to 5 years,3B
43,Bexley,3,Over 5 years,3B
44,Bexley,3,Over 5 years,3B
45,Bexley,5,1 to 3 years,2B
46,Bexley,3,Over 5 years,4B
47,Bexley,2,1 to 3 years,3B
48,Bexley,3,1 to 3 years,3B
49,Bexley,2,1 to 3 years,2B
50,Bexley,2,1 to 3 years,3B
51,Bexley,2,1 to 3 years,3B
52,Bexley,4,3 to 5 years,3B
53,Bexley,3,Over 5 years,3B
55,Bexley,4,Over 5 years,4B
56,Bexley,2,3 to 5 years,2B
57,Bexley,3,3 to 5 years,2B
58,Bexley,3,3 to 5 years,2B
59,Bexley,3,3 to 5 years,2B
60,Bexley,2,1 to 3 years,3B
61,Bexley,3,1 to 3 years,4B
62,Bexley,3,Over 5 years,2B
63,Bexley,2,3 to 5 years,3B
64,Bexley,2,1 to 3 years,2B
65,Bexley,3,1 to 3 years,3B
66,Bexley,4,3 to 5 years,3B
67,Bexley,3,1 to 3 years,3B
68,Bexley,2,1 to 3 years,1B
69,Bexley,2,1 to 3 years,1B
70,Bexley,2,1 to 3 years,1B
71,Bexley,2,1 to 3 years,1B
72,Bexley,2,1 to 3 years,1B
73,Bexley,3,Over 5 years,1B
74,Bexley,2,3 to 5 years,1B
75,Bexley,2,3 to 5 years,2B
76,Bexley,2,1 to 3 years,1B
77,Bexley,2,1 to 3 years,1B
78,Bexley,3,1 to 3 years,3B
80,Bexley,3,3 to 5 years,2B
81,Bexley,4,3 to 5 years,3B
82,Bexley,4,3 to 5 years,3B
83,Bexley,3,Over 5 years,3B
84,Bexley,3,Over 5 years,2B
85,Bexley,2,1 to 3 years,2B
86,Bexley,3,1 to 3 years,2B
87,Bexley,3,Over 5 years,2B
90,Bexley,2,1 to 3 years,2B
105,Bexley,2,1 to 3 years,2B
106,Bexley,3,Over 5 years,2B
107,Bexley,2,1 to 3 years,2B
108,Bexley,3,1 to 3 years,2B
109,Bexley,4,Over 5 years,2B
114,Bexley,2,1 to 3 years,2B
115,Bexley,2,1 to 3 years,2B
116,Bexley,2,1 to 3 years,2B
117,Bexley,4,Over 5 years,4B
118,Bexley,4,3 to 5 years,2B
119,Bexley,4,3 to 5 years,2B
120,Bexley,4,3 to 5 years,2B
121,Bexley,2,1 to 3 years,4B
122,Bexley,3,1 to 3 years,3B
123,Bexley,2,1 to 3 years,3B
124,Bexley,2,1 to 3 years,3B
125,Bexley,3,1 to 3 years,3B
126,Bexley,2,1 to 3 years,3B
127,Bexley,2,1 to 3 years,3B
128,Bexley,2,1 to 3 years,3B
129,Bexley,3,1 to 3 years,3B
130,Bexley,3,1 to 3 years,3B
131,Bexley,4,1 to 3 years,3B
132,Bexley,4,1 to 3 years,4B
133,Bexley,2,1 to 3 years,3B
134,Bexley,2,1 to 3 years,3B
135,Bexley,4,Over 5 years,2B
136,Bexley,2,1 to 3 years,2B
137,Bexley,2,1 to 3 years,3B
138,Bexley,3,Over 5 years,2B
139,Bexley,2,1 to 3 years,3B
140,Bexley,3,1 to 3 years,3B
141,Bexley,2,1 to 3 years,4B
142,Bexley,3,3 to 5 years,4B
